Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
172,3,1.469,1.45565,0,0,0,0,1.27014,0.183999,0.000784228,0.00051701,0.000116182,0.000092934,0,0,0.516349,0.071013,4.08308E-05,1.72616E-05,2.22063E-06,9.34999E-07
172,4,1.52584,1.47863,0,0,0,0,0,1.29786,0.104562,0.0549901,0.0123357,0.00887918,0,0,0,0.484791,0.00909536,0.00384515,0.00049466,0.000208278
172,5,1.49715,1.46011,0,0,0,0,0,0.000197675,0.739285,0.554095,0.0992273,0.0673019,0,0,0,0,0,0,0,0
172,6,1.58753,1.51646,0,0,0,0,0,6.18373E-16,0.000724928,0.965347,0.35391,0.196482,0,0,0,0,0,0,0,0
172,7,1.7498,1.63837,0,0,0,0,0,0,5.0711E-10,0.039104,0.91884,0.680426,0,0,0,0,0,0,0,0
172,8,2.38527,2.17061,1,0,0,0,0,0,5.63517E-11,0.0025524,0.170749,1.99731,0,0,0,0,0,0,0,0
173,1,0.394153,0.36649,0,1,0.271977,0.0929367,0.00155114,2.54965E-05,1.16734E-07,7.69581E-08,1.7294E-08,1.38334E-08,0.0943035,0.039349,0.000102983,2.14814E-07,1.1712E-10,4.95136E-11,6.3697E-12,2.68198E-12
173,2,0.983961,0.974984,0,0,0,0.850678,0.122418,0.00187042,8.56359E-06,5.64563E-06,1.26868E-06,1.01482E-06,0,0.328608,0.047871,0.000105343,5.74344E-08,2.4281E-08,3.12364E-09,1.31521E-09
173,3,1.4693,1.45589,0,0,0,0,1.26788,0.186482,0.000794412,0.000523723,0.000117691,9.41408E-05,0,0,0.515327,0.0721493,4.14933E-05,1.75417E-05,2.25666E-06,9.50171E-07
173,4,1.52568,1.47843,0,0,0,0,0,1.29463,0.106362,0.0558799,0.0125352,0.00901859,0,0,0,0.482467,0.00920019,0.00388947,0.000500362,0.000210679
173,5,1.49716,1.46012,0,0,0,0,0,0.000197271,0.738791,0.554539,0.0992679,0.0673294,0,0,0,0,0,0,0,0
173,6,1.588,1.51677,0,0,0,0,0,6.11453E-16,0.000716812,0.962755,0.356081,0.197217,0,0,0,0,0,0,0,0
173,7,1.75099,1.63927,0,0,0,0,0,0,4.96712E-10,0.0380903,0.915794,0.685381,0,0,0,0,0,0,0,0
173,8,2.38931,2.17408,1,0,0,0,0,0,5.615E-11,0.00254312,0.169724,2.00182,0,0,0,0,0,0,0,0
174,1,0.395148,0.367554,0,1,0.271978,0.0939841,0.00156597,2.57402E-05,1.1785E-07,7.76936E-08,1.74592E-08,1.39656E-08,0.0942208,0.0398195,0.000104319,2.17602E-07,1.1864E-10,5.01562E-11,6.45236E-12,2.71678E-12
174,2,0.988069,0.979159,0,0,0,0.851795,0.125431,0.00191489,8.76722E-06,5.77987E-06,1.29885E-06,1.03895E-06,0,0.329138,0.0492111,0.000108333,5.90649E-08,2.49703E-08,3.21231E-09,1.35255E-09
174,3,1.46971,1.45621,0,0,0,0,1.26475,0.189901,0.000808425,0.000532962,0.000119767,9.58014E-05,0,0,0.513912,0.0737181,4.24083E-05,1.79285E-05,2.30642E-06,9.71124E-07
